"[*]=開始位置
[/]=コメント",atoi(),,"toDouble
[]=0.0",,,,,,,"[]=end
end以降=0.0",,,,,,
行修飾,フレーム間隔,イベント番号,SubId,種別,HP,無敵時間,X座標,Y座標,ドロップアイテム,Arg0,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6
/,,,,,,,,,,,,,,,,
/,JackOLantern,2,0,,,,,,,ShotType,XRate,YAdd,Rot,RotAdd,,
/,BigJackOLantern,2,1,,,,,,,ShotType,R,RApprRate,Rot,RotAdd,XAdd,YAdd
/,E01,2,2,,,,,,,FairyEtcKind,ShotType,Speed,XDir,MaxY,ApprRate,
/,E02,2,3,,,,,,,FairyEtcKind,ShotType,PrmTargetX,PrmTargetY,ApprRate,XAdd,YAdd
/,E03,2,4,,,,,,,FairyEtcKind,ShotType,PrmTargetX,PrmTargetY,EvacFrame,EvacXAdd,EvacYAdd
/,,,,,,,,,,,,,,,,
,,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,60,2,2,,1,10,40,-50,2,0,100,4,1,250,0.97,
,,2,2,,1,10,40,-100,2,0,100,4,1,250,0.97,
,,2,2,,1,10,40,-150,2,0,100,4,1,250,0.97,
,,2,2,,1,10,40,-200,2,0,100,4,1,250,0.97,
,,2,2,,1,10,40,-250,2,0,100,4,1,250,0.97,
,,,,,,,,,,,,,,,,
,60,2,2,,1,10,440,-50,2,0,100,4,0,350,0.97,
,,2,2,,1,10,440,-100,2,0,100,4,0,350,0.97,
,,2,2,,1,10,440,-150,2,0,100,4,0,350,0.97,
,,2,2,,1,10,440,-200,2,0,100,4,0,350,0.97,
,,2,2,,1,10,440,-250,2,0,100,4,0,350,0.97,
,,,,,,,,,,,,,,,,
,180,2,2,,1,30,40,-50,2,1,101,4,1,250,0.97,1
,,2,2,,1,30,40,-100,2,1,101,4,1,250,0.97,1
,,2,2,,1,30,40,-150,2,1,101,4,1,250,0.97,1
,,2,2,,1,30,40,-200,2,1,101,4,1,250,0.97,1
,,2,2,,1,30,40,-250,2,1,101,4,1,250,0.97,1
,,,,,,,,,,,,,,,,
,60,2,2,,1,30,440,-50,2,1,101,4,0,350,0.97,1
,,2,2,,1,30,440,-100,2,1,101,4,0,350,0.97,1
,,2,2,,1,30,440,-150,2,1,101,4,0,350,0.97,1
,,2,2,,1,30,440,-200,2,1,101,4,0,350,0.97,1
,,2,2,,1,30,440,-250,2,1,101,4,0,350,0.97,1
,,,,,,,,,,,,,,,,
,300,2,2,,10,10,40,-50,1,2,100,2,0,400,0.99,
,,2,2,,10,10,140,-50,1,2,100,2,0,350,0.99,
,,2,2,,10,10,240,-50,1,2,100,2,1,300,0.99,
,,2,2,,10,10,340,-50,1,2,100,2,1,350,0.99,
,,2,2,,10,10,440,-50,1,2,100,2,1,400,0.99,
,,,,,,,,,,,,,,,,
/*,60,2,3,,100,10,480,-100,11,4,200,0,100,0.98,1,0
,60,2,3,,100,10,0,-100,11,4,200,480,200,0.98,-1,0
,,,,,,,,,,,,,,,,
,120,2,4,,30,30,240,-100,1,6,0,80,150,200,-0.01,-0.01
,,2,4,,30,30,240,-100,1,7,0,80,300,200,-0.01,-0.01
,,2,4,,30,30,240,-100,1,6,0,80,450,200,-0.01,-0.01
,,2,4,,30,30,240,-100,1,7,0,400,150,200,0.01,-0.01
,,2,4,,30,30,240,-100,1,6,0,400,300,200,0.01,-0.01
,,2,4,,30,30,240,-100,1,7,0,400,450,200,0.01,-0.01
,,,,,,,,,,,,,,,,
,600,2,0,,30,10,40,-100,,100,50,2,0,0.1,,
,,2,0,,30,10,140,-100,,100,50,2,0,0.1,,
,,2,0,,30,10,240,-100,1,100,50,2,0,0.1,,
,,2,0,,30,10,340,-100,,100,50,2,0,0.1,,
,,2,0,,30,10,440,-100,,100,50,2,0,0.1,,
,180,2,1,,100,10,240,0,2,100,300,0.99,4.7,-0.05,0,1
,200,1,1,,,,,,,,,,,,,
,300,1,2,,,,,,,,,,,,,
,60,2,1,,100,10,480,0,11,100,100,0.996,4.7,-0.03,-0.5,0.3
,,2,1,,100,10,0,0,11,100,100,0.996,4.7,0.03,0.5,0.5
/*,500,2,1,,100,10,480,0,21,100,100,0.996,4.7,-0.03,-0.5,0.3
,,2,1,,100,10,0,0,22,100,100,0.996,4.7,0.03,0.5,0.5
,400,,,,,,,,,,,,,,,
